,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
TMEM229B,38.816.617.606.098,-154.044.713.984.899,319.123.613.677.674,-482.711.737.341.033,"1,39E+08","8,14E+09",FALSE
CD79B,102.375.144.022.651,154.037.228.364.265,523.739.330.345.698,294.110.484.814.253,327.043.814.642.308,280.446.218.495.904,FALSE
TOP1,816.011.010.695.312,-153.910.433.151.653,349.960.830.529.333,-439.793.313.208.384,"1,09E+09",404.679.896.735.188,FALSE
ABCB1,275.277.615.844.075,153.630.221.349.917,47.654.030.689.584,32.238.662.527.973,126.472.453.985.217,142.955.236.640.376,FALSE
SIGLEC16,229.780.331.105.808,-153.588.376.132.317,42.702.066.623.138,-359.674.339.623.403,32.222.607.125.733,544.442.717.435.533,FALSE
NASP,482.935.266.480.307,-153.477.521.216.787,319.244.184.337.639,-480.752.755.246.641,"1,53E+08","8,67E+09",FALSE
RPL10A,204.792.746.563.501,153.475.833.827.248,395.248.004.174.904,388.302.615.588.497,103.164.465.927.341,230.704.065.470.848,FALSE
PLEKHG3,556.286.253.786.609,153.250.362.333.584,354.060.366.410.163,432.836.817.877.689,"1,50E+09",519.163.201.190.995,FALSE
CRYL1,556.660.097.605.846,153.203.796.726.347,390.097.684.462.691,392.731.879.291.634,"8,59E+09",201.102.697.642.996,FALSE
FAM46A,483.582.072.748.468,-153.052.664.209.322,381.549.333.719.982,-401.134.665.122.091,"6,04E+09",15.202.135.717.779,FALSE
BAZ1A,181.317.408.447.692,-152.987.434.284.607,39.640.477.791.281,-385.937.412.485.621,113.677.792.267.532,248.370.731.956.168,FALSE
NFE2,16879896.18.00,-15.256.770.565.961,48.694.479.560.573,-313.316.226.061.775,172.933.812.421.878,17.865.127.995.213,FALSE
FADS3,433.820.302.481.247,152.488.432.942.768,436.045.154.339.141,349.707.894.756.623,470.382.605.350.973,711.500.479.314.038,FALSE
LINC01410,885.990.076.057.831,-152.286.928.992.079,520.558.593.891.229,-292.545.221.189.642,343.955.999.232.776,291.442.657.596.568,FALSE
DNAJA4,217.061.744.538.676,-152.229.486.222.454,519.072.865.566.617,-293.271.901.347.185,336.007.838.930.078,286.410.269.282.327,FALSE
PGS1,850.088.269.276.632,-15.218.229.976.914,425.260.919.643.032,-35.785.630.124.885,345.488.576.504.982,571.886.388.249.539,FALSE
ADM,103.040.544.785.376,-152.177.044.208.538,533.379.820.336.882,-285.307.089.631.593,432.989.604.716.693,339.865.550.020.226,FALSE
CCDC71L,467.108.886.660.158,-152.157.817.471.039,325.824.848.925.773,-466.992.674.047.714,"3,01E+08",151.383.623.440.107,FALSE
MPZ,350.929.850.084.425,-152.054.611.864.969,343.278.616.258.478,-442.948.102.979.058,"9,45E+08",367.685.215.780.467,FALSE
LOC283788,49.576.977.519.911,151.921.671.274.317,40.946.388.324.634,37.102.581.568.328,207.048.005.779.807,389.667.080.184.604,FALSE
MMP25,630.725.646.104.282,-151.731.641.553.824,512.511.537.017.145,-296.055.075.046.531,307.089.522.103.904,26.837.977.008.391,FALSE
ADAM28,831.208.475.353.077,151.717.816.978.946,432.549.229.791.153,350.752.715.597.714,452.292.188.242.451,693.332.312.756.069,FALSE
TLR8,189.984.012.759.508,-151.693.029.610.189,497.765.198.552.613,-304.748.162.489.619,230.767.634.581.823,218.915.846.943.097,FALSE
LINC00926,416.986.714.808.096,151.557.523.826.147,424.311.627.140.362,357.184.470.403.428,354.475.595.253.513,580.027.857.082.685,FALSE
SLC25A34,289.666.457.051.034,-151.478.740.377.099,442.811.002.447.199,-342.084.409.691.608,624.271.076.201.723,875.745.587.217.793,FALSE
SEC24D,240.419.194.275.098,-15.122.571.768.658,387.997.576.305.913,-389.759.439.031.515,"9,72E+08",220.723.009.028.605,FALSE
C9orf91,347.324.627.643.022,-151.191.448.755.226,416.280.445.094.696,-363.196.135.049.854,281.275.255.870.893,490.173.317.545.354,FALSE
STRBP,887.441.125.867.792,151.147.416.150.811,421.620.318.777.172,358.491.774.279.722,337.184.461.055.261,562.220.581.627.961,FALSE
SLC39A8,257.346.469.171.282,-151.074.268.008.975,489.159.956.691.808,-308.844.307.352.326,201.208.238.036.059,199.546.083.026.195,FALSE
STAT4,14.634.131.422.309,150.956.002.842.024,419.411.508.232.975,359.923.368.526.576,31.915.629.393.942,540.056.013.706.095,FALSE
MASTL,794.028.633.153.812,-150.916.529.522.663,414.481.900.901.901,-364.108.852.990.378,271.487.754.057.143,476.356.590.003.341,FALSE
C16orf74,389.882.310.659.224,150.551.950.937.747,552.874.363.293.938,272.307.708.465.232,646.769.649.109.961,450.617.591.674.602,FALSE
RNF24,936.167.643.297.798,-150.487.477.642.377,480.842.947.891.692,-312.965.965.919.237,175.008.938.664.217,180.305.053.790.912,FALSE
TUFT1,410.791.904.940.976,-150.468.509.632.685,358.831.907.425.472,-419.328.678.746.153,"2,75E+09",821.117.121.097.352,FALSE
MAP4K1,276.471.408.934.392,150.421.853.265.764,350.708.910.351.246,428.907.988.437.226,"1,79E+09",600.066.344.953.372,FALSE
PRLR,137.107.221.832.275,-150.410.154.176.079,458.055.547.928.691,-328.366.624.651.155,102.466.190.207.674,124.058.057.252.497,FALSE
CASP1,339.263.178.816.865,-150.354.949.862.726,398.978.404.097.634,-376.849.845.301.234,164.232.502.924.653,329.186.589.781.312,FALSE
GIMAP4,494.150.352.636.457,-150.336.854.352.309,348.491.521.623.577,-431.393.147.391.103,"1,60E+09",545.998.802.611.814,FALSE
RPL5,143.722.082.512.023,150.206.731.570.588,355.811.620.413.362,422.152.405.804.191,"2,43E+09",754.622.677.558.539,FALSE
FES,121.592.577.167.068,-150.108.538.754.746,497.340.694.738.693,-301.822.353.052.397,254.261.283.000.979,234.284.059.331.218,FALSE
BCAT1,414.595.811.221.729,-150.008.842.990.499,40.716.566.098.884,-36.842.213.713.747,229.402.808.511.284,416.614.495.393.502,FALSE
CSF1,150.389.250.318.232,-149.897.748.780.971,519.871.826.536.141,-288.335.972.694.897,393.457.839.587.397,319.842.242.373.076,FALSE
ZNF853,355.158.728.803.534,149.736.739.753.255,450.699.425.881.167,332.231.929.207.593,892.724.753.520.088,113.506.419.329.951,FALSE
RORA,296.289.159.046.294,149.668.785.904.366,48.487.454.427.065,308.675.280.385.152,202.355.797.427.606,200.162.000.837.974,FALSE
PLEKHB1,622.472.618.784.659,149.499.574.551.408,445.375.236.272.272,335.671.053.026.429,78.875.645.024.886,10.298.593.568.492,FALSE
IL24,267.559.027.074.067,1.493.158.668.356,436.663.226.492.785,341.947.427.162.308,627.422.655.047.632,879.085.427.618.948,FALSE
BLZF1,105.690.069.879.707,-149.216.803.457.496,323.308.354.992.005,-461.530.922.889.964,"3,93E+08",186.524.234.916.436,FALSE
GALNT3,194.969.344.282.623,-149.161.098.516.689,319.302.498.730.317,-467.146.668.472.114,"2,99E+08",150.917.727.004.713,FALSE
AGFG1,618.952.167.249.194,-149.001.143.127.526,429.442.505.611.094,-346.964.124.837.848,521.153.959.226.174,763.579.216.265.768,FALSE
FLVCR1,916.737.381.432.561,148.937.266.142.813,404.318.527.948.184,368.366.166.395.176,229.907.357.897.203,41.686.699.790.423,FALSE
IFITM2,233.395.515.216.825,-148.931.774.701.001,473.098.374.586.833,-314.800.858.977.938,164.386.862.678.114,17.216.089.704.719,FALSE
ABCA1,390.371.075.597.687,-148.822.905.261.397,44.852.041.857.736,-331.808.540.029.104,906.367.680.496.917,11.447.534.214.914,FALSE
AZI2,377.286.603.987.733,-148.794.966.552.291,270.699.500.046.786,-549.668.420.246.711,"3,87E+06","5,13E+08",FALSE
EEF1B2,804.056.364.492.637,148.608.698.563.585,382.123.723.038.887,38.890.204.822.081,100.649.624.303.484,225.981.927.172.932,FALSE
CD3D,55.785.376.032.821,148.491.487.030.722,401.210.548.972.286,370.108.631.019.517,214.678.433.076.555,397.847.102.849.076,FALSE
ATP6V1C1,395.387.263.648.419,-148.337.942.633.077,424.907.917.549.873,-349.106.092.182.117,481.106.535.878.743,721.976.321.275.929,FALSE
ADPRH,162.312.252.086.782,-148.262.131.139.806,30.987.165.969.206,-478.463.023.327.607,"1,71E+08","9,44E+09",FALSE
MILR1,859.605.440.417.472,-148.242.417.242.575,458.836.470.181.122,-323.083.335.516.153,123.429.879.865.917,140.899.986.514.524,FALSE
KPNB1,347.177.029.036.714,-147.994.431.928.178,273.599.587.617.256,-540.916.136.669.076,"6,33E+06","7,45E+08",FALSE
LGALS12,334.407.824.551.739,147.986.829.502.695,393.556.926.708.369,37.602.394.840.418,169.750.772.067.219,335.529.905.619.868,FALSE
CXCL16,583.877.890.525.805,-147.550.695.152.133,415.559.977.821.664,-355.064.739.211.853,384.284.891.507.598,616.423.233.142.637,FALSE
BDH2,260.832.997.564.405,14.751.419.765.532,451.752.377.546.993,32.653.773.391.591,109.318.340.831.533,1.296.024.612.457,FALSE
PHF21A,157.431.990.251.047,-147.489.530.185.876,355.632.519.237.766,-414.724.532.227.798,"3,36E+09",961.848.673.758.735,FALSE
RNF10,231.783.204.555.804,-147.281.208.156.724,440.523.674.425,-334.332.106.779.426,827.820.608.359.587,106.801.968.759.515,FALSE
AQP9,825.519.192.819.147,-14.724.953.414.604,399.063.792.184.366,-36.898.745.771.957,224.364.642.642.717,410.734.951.739.998,FALSE
TNFRSF9,223.971.199.148.458,147.153.772.327.915,481.265.603.053.712,3.057.641.589.056,22.308.622.290.884,213.090.315.935.956,FALSE
PHF11,815.294.493.149.221,-146.919.265.051.509,336.244.670.418.185,-436.941.542.802.111,"1,25E+09",439.885.463.473.933,FALSE
RPL3,550.152.830.907.454,146.906.037.782.409,375.821.353.896.333,390.893.269.526.488,"9,27E+09",211.459.614.422.513,FALSE
DTX3L,236.978.693.408.133,-146.872.143.053.258,302.961.128.975.016,-48.478.873.692.529,"1,25E+08","7,61E+09",FALSE
LTB4R,835.696.876.676.809,-146.780.097.577.099,209.869.645.639.521,-699.386.979.616.927,"2,67E+01","3,39E+05",FALSE
PKIG,779.432.885.903.883,146.717.561.958.749,492.566.463.045.459,297.863.482.324.025,289.535.619.411.328,256.577.602.127.909,FALSE
DENND1A,524.507.246.948.094,-146.259.456.986.439,301.444.178.406.464,-48.519.582.550.778,"1,22E+07","7,54E+09",FALSE
LINC00654,140.702.392.869.715,-146.164.440.541.433,438.997.564.867.124,-332.950.458.587.792,870.006.314.928.107,111.362.761.186.925,FALSE
SP110,18.886.895.379.605,-146.162.243.069.385,346.777.782.034.862,-421.486.757.922.371,"2,50E+09",766.234.464.523.273,FALSE
SYTL2,951.830.672.927.061,146.136.341.722.627,439.551.857.189.901,332.466.668.795.103,885.242.979.136.763,112.806.661.196.143,FALSE
PINK1-AS,317.505.270.081.946,-14.611.655.611.806,34.035.080.329.315,-429.311.624.078.074,"1,76E+09",594.486.323.019.932,FALSE
MIR223,696.063.696.583.492,-145.967.268.844.053,529.074.413.966.029,-275.891.755.471.331,579.931.639.112.945,418.662.218.825.821,FALSE
SLC16A3,289.719.818.744.671,-145.784.371.416.318,369.859.923.354.499,-394.161.038.303.651,"8,09E+09",193.517.678.643.967,FALSE
ERI1,162.019.438.786.096,-145.661.974.735.553,312.125.408.855.029,-466.677.721.848.683,"3,06E+08",152.630.022.719.619,FALSE
BEST1,358.480.894.973.615,-145.661.508.870.724,490.916.514.473.295,-296.713.401.517.984,300.589.907.816.532,26.438.324.022.341,FALSE
LYRM1,314.077.460.818.025,-14.555.172.500.569,319.243.345.782.433,-455.927.200.765.792,"5,13E+08",226.911.980.304.016,FALSE
EMILIN2,87.752.561.071.767,-145.318.730.404.429,420.879.073.277.523,-345.274.307.113.405,554.917.270.071.006,799.094.881.964.624,FALSE
GADD45B,108.863.491.573.418,-145.282.531.607.045,344.246.678.532.333,-422.030.307.529.602,"2,44E+09",754.622.677.558.539,FALSE
C2orf81,197.252.071.682.058,145.178.323.859.587,432.036.903.242.382,336.032.229.585.116,778.515.954.818.607,102.410.316.778.618,FALSE
KLHDC2,984.539.561.802.559,145.146.623.467.197,28.720.700.920.435,505.372.845.423.573,"4,33E+07","3,29E+09",FALSE
PNPLA7,156.522.003.109.522,145.097.198.255.463,445.405.771.027.038,325.764.073.332.258,112.342.537.042.606,13.141.196.256.112,FALSE
SAMD3,240.848.676.943.355,144.886.355.091.812,337.582.611.593.578,42.918.784.948.036,"1,77E+09",596.047.144.303.845,FALSE
DOK7,153.401.898.737.617,144.825.837.988.802,474.640.695.999.702,305.127.308.318.487,227.873.218.481.782,216.394.176.251.851,FALSE
STAT3,335.643.676.398.956,-144.728.090.516.166,33.471.128.981.821,-432.396.799.626.243,"1,53E+09",526.442.218.613.775,FALSE
BRI3,130.476.079.182.595,-144.708.861.423.496,386.357.610.965.562,-374.546.423.614.765,180.060.498.202.174,349.290.871.245.311,FALSE
MXD1,752.219.855.784.205,-144.693.937.308.899,346.181.871.013.748,-417.970.868.564.498,"2,92E+09",858.647.324.806.398,FALSE
SRBD1,123.658.418.963.434,-144.346.484.177.017,331.174.834.449.689,-435.861.874.640.554,"1,31E+09",456.499.593.545.573,FALSE
SEPT1,803.682.575.290.121,144.216.658.861.243,420.784.839.123.518,342.732.545.121.259,60.955.804.007.241,859.333.677.011.846,FALSE
SH3GLB1,169.438.919.951.169,-143.945.843.512.823,285.414.610.748.497,-504.339.434.955.086,"4,57E+07","3,45E+09",FALSE
CXorf21,343.770.676.049.793,-143.907.727.880.611,381.301.540.001.302,-377.411.871.664.928,160.574.286.614.934,324.132.697.140.411,FALSE
UBQLN2,650.303.051.039.151,-143.905.090.392.179,387.354.638.244.827,-371.507.337.679.598,203.144.736.589.797,386.144.286.801.106,FALSE
LOXHD1,170.491.057.854.439,-143.878.481.715.971,532.854.100.590.991,-270.014.778.072.261,6.930.868.193.934,473.049.382.117.398,FALSE
LOC100130357,181.102.462.292.376,-143.854.764.937.298,350.649.201.421.166,-410.252.652.378.105,"4,09E+09",112.579.743.925.917,FALSE
LRP10,546.244.713.463.178,-143.846.460.595.622,40.675.129.472.694,-353.647.210.126.742,405.509.328.605.938,641.118.546.361.903,FALSE
SAMHD1,353.798.672.549.178,-143.804.521.195.956,393.761.423.217.287,-365.207.236.455.465,260.132.553.033.979,458.548.959.405.337,FALSE
ARID5A,105.036.021.296.388,-143.660.415.327.169,388.666.464.682.705,-369.623.902.191.944,218.816.972.841.174,402.517.350.847.353,FALSE
NUB1,159.431.528.343.319,-143.633.567.800.298,28.880.404.931.069,-497.339.175.621.391,"6,58E+06","4,61E+09",FALSE
ADAT2,666.325.736.904.609,143.603.849.028.498,42.543.194.471.129,337.548.345.425.615,736.861.226.688.206,981.154.840.795.418,FALSE
GLTSCR2,230.174.955.513.391,143.496.097.355.002,422.965.070.289.031,339.262.287.680.032,692.268.750.041.808,94.441.687.729.986,FALSE
PRDM1,651.817.786.091.861,-143.460.822.740.607,44.732.260.171.974,-320.709.980.200.128,134.080.471.179.473,148.753.674.494.348,FALSE
ISY1-RAB43,687.172.898.911.352,-143.403.761.206.753,441.422.120.569.269,-324.867.636.949.902,115.943.307.297.029,134.600.409.483.734,FALSE
ARHGEF11,832.137.277.831.831,-143.384.403.259.791,339.111.986.850.519,-422.823.164.086.486,"2,36E+09",74.412.169.080.776,FALSE
ZCCHC2,733.801.896.205.481,-143.268.741.471.331,423.483.703.905.644,-338.309.928.221.589,716.727.170.089.221,969.304.984.250.572,FALSE
RGCC,848.201.675.718.671,14.324.377.413.179,458.709.054.267.235,312.275.881.191.433,179.164.503.445.065,182.933.855.129.003,FALSE
SH3PXD2B,201.897.092.682.572,-143.112.352.414.275,425.091.499.497.544,-336.662.465.806.615,760.941.813.175.345,100.913.271.851.916,FALSE
MAP9,127.106.101.652.038,142.864.007.149.832,508.589.970.821.074,280.902.132.063.656,496.923.555.646.855,374.581.173.308.155,FALSE
CASP7,174.845.624.301.021,-142.757.613.252.148,437.823.297.806.642,-326.062.167.014.226,111.168.260.885.882,130.563.920.442.413,FALSE
CASP10,682.683.380.168.627,-142.576.185.944.988,24.672.462.538.916,-577.875.782.444.098,"7,53E+05","1,44E+08",FALSE
PI4K2B,226.782.914.641.055,-142.470.676.600.177,457.860.123.452.675,-311.166.378.774.856,186.036.241.965.976,188.264.715.139.482,FALSE
CXCR1,915.279.134.703.016,-142.449.900.281.708,447.516.788.379.887,-318.311.857.745.962,145.697.933.363.341,157.655.116.699.137,FALSE
NDUFAF2,186.053.800.309.494,142.447.665.299.198,452.962.724.469.045,314.479.884.556.003,16.620.106.472.601,173.582.705.421.258,FALSE
SLC40A1,806.651.097.709.924,-142.365.044.526.771,395.381.424.689.442,-360.070.138.951.504,317.359.899.962.265,538.614.532.599.648,FALSE
PALM2-AKAP2,577.157.307.308.716,-142.251.734.673.928,438.057.668.092.492,-324.732.894.856.877,116.493.663.957.374,134.851.553.451.756,FALSE
SNX25,182.638.164.610.284,1.421.193.968.929,456.446.216.943.072,311.360.663.354.179,184.815.712.168.727,187.528.754.206.791,FALSE
HIF1A,118.675.070.536.347,-141.959.148.258.552,304.479.971.617.235,-466.234.765.802.627,"3,13E+08",155.019.978.554.434,FALSE
USP25,641.151.135.224.399,-141.939.828.172.371,272.759.860.335.392,-520.383.857.059.607,"1,95E+07","1,74E+08",FALSE
DUSP3,428.658.051.837.543,-141.939.382.273.567,377.069.052.888.873,-376.428.087.073.478,167.029.063.232.235,33.245.488.065.683,FALSE
PLCD1,558.012.521.208.313,141.820.292.271.161,317.879.711.676.781,446.144.522.791.576,"8,14E+08",329.243.563.418.366,FALSE
SPAG1,196.393.312.309.855,141.770.806.886.098,503.815.278.655.765,281.394.417.541.998,489.377.260.100.378,370.115.892.005.624,FALSE
TANK,706.720.109.701.263,-141.763.311.250.423,273.482.930.385.037,-51.836.255.758.571,"2,18E+06","1,89E+09",FALSE
ADAR,85.648.026.103.993,-141.725.749.996.518,279.629.156.574.275,-506.834.665.357.482,"4,01E+07","3,13E+09",FALSE
SMCO4,19.887.661.467.209,-141.643.801.040.486,416.382.542.168.227,-340.177.088.844.565,669.507.400.524.938,923.304.945.947.631,FALSE
MUSTN1,21.250.970.828.852,-141.614.119.946.851,448.239.314.299.032,-315.934.179.420.006,15.812.592.501.517,167.390.200.727.963,FALSE
HIST1H2BD,233.874.296.423.169,-141.576.484.324.422,428.768.950.441.691,-33.019.294.932.289,960.222.036.810.343,119.295.559.148.387,FALSE
COL6A2,116.662.923.233.987,141.480.833.319.765,389.511.142.787.541,363.226.664.858.047,280.942.594.011.102,490.173.317.545.354,FALSE
LINC00999,153.916.723.701.727,-14.134.109.274.017,488.718.167.491.545,-289.207.772.785.765,382.703.253.161.203,314.915.627.871.826,FALSE
ZCCHC18,199.874.887.701.529,141.249.230.498.208,409.894.927.563.471,344.598.630.038.758,568.979.203.155.058,813.183.936.338.777,FALSE
KIAA1407,278.181.116.654.378,141.080.000.755.568,362.564.458.570.991,389.117.017.458.411,"9,98E+09",22.485.866.160.082,FALSE
ECHDC2,630.618.619.682.403,141.004.866.989.276,344.663.364.507.367,409.108.949.513.148,"4,29E+09",117.147.192.369.887,FALSE
PGD,248.033.660.549.697,-140.990.793.864.528,4.404.948.736.018,-320.073.631.531.026,137.076.912.779.927,151.049.486.981.166,FALSE
JDP2,373.136.793.902.476,-140.840.576.519.342,399.639.614.671.919,-352.418.957.852.725,424.780.213.415.859,661.785.844.092.818,FALSE
TOP1P1,149.033.587.225.912,-140.824.662.136.697,318.042.341.924.349,-442.785.892.232.531,"9,52E+08",367.948.943.797.594,FALSE
STARD9,587.838.971.787.721,140.795.969.118.067,444.698.785.389.575,31.660.974.516.655,154.499.024.092.308,164.733.801.051.783,FALSE
RPL10L,649.941.699.350.902,14.077.834.263.027,493.343.948.145.842,285.355.365.479.528,432.332.265.683.525,339.817.332.193.012,FALSE
ARL4A,650.577.737.446.048,-140.732.341.425.539,441.511.232.691.654,-318.751.440.518.444,143.501.309.730.678,156.167.217.316.639,FALSE
SLC38A5,128.217.788.623.704,-140.714.244.802.745,511.516.446.464.615,-275.092.317.706.111,594.275.783.047.059,426.271.402.871.177,FALSE
DUSP1,963.121.365.100.776,-140.612.335.505.907,489.967.257.323.897,-2.869.831.267.377,410.690.889.801.872,328.927.640.322.356,FALSE
FAM101B,541.146.963.171.051,140.583.557.605.673,459.075.437.033.965,306.231.931.104.761,219.629.028.075.076,210.520.653.716.391,FALSE
MEFV,107.174.782.884.925,-140.533.448.173.959,455.480.290.472.325,-30.853.903.256.325,203.285.180.666.031,200.907.061.134.843,FALSE
STX3,17978878.25.00,-140.530.987.706.814,420.623.502.321.262,-334.101.606.142.493,834.723.940.820.372,107.570.921.413.066,FALSE
SERPINA1,129.945.198.454.201,-140.506.583.259.832,402.071.896.461.128,-349.456.364.636.558,474.837.378.647.474,715.738.033.269.997,FALSE
FAR2,195.070.285.834.675,-140.445.569.823.547,341.962.431.974.816,-410.704.675.985.841,"4,01E+09",111.205.721.687.658,FALSE
WSB1,117.271.626.655.297,-140.011.634.236.489,454.130.094.272.168,-308.307.324.272.102,204.874.724.243.999,201.953.001.728.851,FALSE
MFSD7,817.176.533.690.262,-139.984.793.453.064,436.170.575.434.074,-320.940.479.109.009,13.301.008.935.071,14.795.102.120.686,FALSE
CDK5RAP2,315.584.153.157.388,-139.834.273.124.583,474.823.613.903.248,-294.497.301.798.212,322.982.827.775.891,277.799.332.638.314,FALSE
RERE,242.918.104.479.272,-139.804.229.770.605,43.015.918.218.502,-32.500.580.148.135,115.381.467.728.593,134.141.247.649.806,FALSE
TYMP,723.714.228.972.127,-139.797.071.345.635,457.921.733.286.827,-305.285.949.942.171,226.672.040.273.626,215.432.884.943.392,FALSE
RPS21,188.243.124.951.264,139.735.913.774.995,485.519.470.607.553,287.807.023.681.536,400.116.043.707.295,323.194.129.959.538,FALSE
RPSAP58,936.282.644.463.286,139.628.582.604.905,421.529.307.156.117,331.242.882.130.595,924.896.580.597.288,116.300.391.419.097,FALSE
